municipalityCode,municipalityName,score,priority,label,url,snippet
"21521","御嵩町","20","low","特定技能所属機関による協力確認書の提出について","https://www.town.mitake.lg.jp/business/business/post0087377/",""
"21521","御嵩町","20","low","御嵩町からのお知らせ","https://www.town.mitake.lg.jp/news/news0084641/",""
"21521","御嵩町","20","low","妊娠・出産・子育て","https://www.town.mitake.lg.jp/purpose_cat/pregnancy_childbirth/",""
"21521","御嵩町","20","low","入園・入学","https://www.town.mitake.lg.jp/purpose_cat/admission/",""
"21521","御嵩町","20","low","就職・退職","https://www.town.mitake.lg.jp/purpose_cat/employment_retirement/",""
"21521","御嵩町","20","low","結婚・離婚","https://www.town.mitake.lg.jp/purpose_cat/marriage_divorce/",""
"21521","御嵩町","20","low","住まい・引越し","https://www.town.mitake.lg.jp/purpose_cat/housing_moving/",""
"21521","御嵩町","20","low","高齢・介護","https://www.town.mitake.lg.jp/purpose_cat/elderly_nursing/",""
"21521","御嵩町","20","low","死亡・相続","https://www.town.mitake.lg.jp/purpose_cat/mortality_inheritance/",""
"21521","御嵩町","20","low","健康・保健","https://www.town.mitake.lg.jp/purpose_cat/%e5%81%a5%e5%ba%b7%e3%83%bb%e4%bf%9d%e5%81%a5/",""
"21521","御嵩町","20","low","入札情報","https://www.town.mitake.lg.jp/business/business/bid_information/",""
"21521","御嵩町","20","low","御嵩町長あいさつ","https://www.town.mitake.lg.jp/portal/town/mayor-room/post0063191/",""
"21521","御嵩町","20","low","御嵩町議会定例会あいさつ施政方針","https://www.town.mitake.lg.jp/portal/town/mayor-room/post0003203/",""
"21521","御嵩町","20","low","町長交際費執行状況","https://www.town.mitake.lg.jp/portal/town/mayor-room/post0003277/",""
"21521","御嵩町","20","low","御嵩町長スケジュール","https://www.town.mitake.lg.jp/portal/town/mayor-room/post0027112/",""
"21521","御嵩町","20","low","議会のたより","https://www.town.mitake.lg.jp/portal/town/parliament/post0003649/",""
"21521","御嵩町","20","low","御嵩町の位置と面積","https://www.town.mitake.lg.jp/portal/mitake-introduction/position-mitake-introduction/post0008334/",""
"21521","御嵩町","20","low","御嵩町へのアクセス","https://www.town.mitake.lg.jp/portal/mitake-introduction/access-mitake-introduction/post0006739/",""
"21521","御嵩町","20","low","御嵩町統計書","https://www.town.mitake.lg.jp/portal/mitake-introduction/statistics-mitake-introduction/post0018365/",""
"21521","御嵩町","20","low","町勢要覧を作成しました","https://www.town.mitake.lg.jp/portal/mitake-introduction/publications-mitake-introduction/post0004694/",""
"21521","御嵩町","20","low","ふれあいバス・ふれあい予約バスについて","https://www.town.mitake.lg.jp/portal/life-process/land-park-road-traffic/traffic/post0009749/",""
"21521","御嵩町","20","low","名鉄広見線（新可児駅~御嵩駅）活性化協議会","https://www.town.mitake.lg.jp/portal/life-process/land-park-road-traffic/traffic/post0014046/",""
"21521","御嵩町","20","low","みたけのええもん","https://www.town.mitake.lg.jp/portal/life-process/town-planning/post0043956/",""
"21521","御嵩町","20","low","中山道御嶽宿 商家竹屋","https://www.town.mitake.lg.jp/event/syoka-takeya/",""
"21521","御嵩町","20","low","新型コロナ感染症関連支援制度","https://www.town.mitake.lg.jp/business/business/%e6%96%b0%e5%9e%8b%e3%82%b3%e3%83%ad%e3%83%8a%e6%84%9f%e6%9f%93%e7%97%87%e9%96%a2%e9%80%a3%e6%94%af%e6%8f%b4%e5%88%b6%e5%ba%a6/",""
"21521","御嵩町","20","low","周知","https://www.town.mitake.lg.jp/business/business/%e5%91%a8%e7%9f%a5/",""
"21521","御嵩町","20","low","仕事","https://www.town.mitake.lg.jp/business/business/job/",""
"21521","御嵩町","20","low","農業","https://www.town.mitake.lg.jp/business/business/agriculture/",""
"21521","御嵩町","20","low","企業誘致","https://www.town.mitake.lg.jp/business/business/invite_companies/",""
"21521","御嵩町","20","low","工業団地情報","https://www.town.mitake.lg.jp/business/business/industrial_park/",""
"21521","御嵩町","20","low","御嵩町からのお知らせ","https://www.town.mitake.lg.jp/news/news0101669/",""
"21521","御嵩町","20","low","御嵩町からのお知らせ","https://www.town.mitake.lg.jp/news/news0086270/",""
"21521","御嵩町","20","low","御嵩町からのお知らせ","https://www.town.mitake.lg.jp/news/news0095534/",""
"21521","御嵩町","20","low","御嵩町からのお知らせ","https://www.town.mitake.lg.jp/news/news0094420/",""
"21521","御嵩町","20","low","御嵩町からのお知らせ","https://www.town.mitake.lg.jp/news/news0093811/",""
"21521","御嵩町","20","low","御嵩町からのお知らせ","https://www.town.mitake.lg.jp/news/news0093164/",""
"21521","御嵩町","20","low","御嵩町からのお知らせ","https://www.town.mitake.lg.jp/news/news0092837/",""
"21521","御嵩町","20","low","御嵩町からのお知らせ","https://www.town.mitake.lg.jp/news/news0092127/",""
